,Year,AverageTemperature,n_records
0,1743,259.2070000000001,50
1,1744,3935.159000000001,400
2,1745,277.425,200
3,1750,5021.144,550
4,1751,3666.9550000000004,400
5,1752,1324.016,300
6,1753,5641.841999999999,636
7,1754,5584.337999999999,633
8,1755,5408.36,634
9,1756,5810.8679999999995,633
10,1757,5710.765999999999,635
11,1758,5244.089,645
12,1759,6001.295000000001,648
13,1760,5426.404,636
14,1761,5784.612999999999,647
15,1762,5502.578999999999,646
16,1763,5207.552999999999,644
17,1764,5687.713000000002,643
18,1765,5502.057,647
19,1766,5585.976,648
20,1767,5310.5830000000005,647
21,1768,5292.548999999999,672
22,1769,5757.193000000001,682
23,1770,5681.870999999999,660
24,1771,5563.643999999999,660
25,1772,5900.567000000001,648
26,1773,5965.709999999999,657
27,1774,5512.884999999999,656
28,1775,6468.895,695
29,1776,5640.562999999999,687
30,1777,5655.586,698
31,1778,5886.3150000000005,676
32,1779,6194.214000000003,671
33,1780,5899.604000000001,668
34,1781,6221.262999999999,684
35,1782,5400.959000000002,693
36,1783,5974.573,667
37,1784,5265.410000000001,660
38,1785,5179.2880000000005,668
39,1786,5351.241,672
40,1787,7950.145,750
41,1788,7159.141999999999,722
42,1789,8251.518999999998,782
43,1790,8379.025,766
44,1791,9195.076000000001,808
45,1792,8283.835000000001,788
46,1793,6876.205000000002,714
47,1794,7384.508000000002,719
48,1795,6635.109000000002,708
49,1796,7987.592000000001,777
50,1797,8081.959,766
51,1798,8201.336,760
52,1799,7654.326,776
53,1800,8427.223,780
54,1801,8469.416,768
55,1802,8454.504,770
56,1803,8858.298,810
57,1804,9782.441000000003,835
58,1805,7439.371,767
59,1806,8301.797999999999,768
60,1807,7902.557999999999,759
61,1808,6662.614999999998,744
62,1809,7678.027,814
63,1810,7548.795999999999,804
64,1811,8441.295,831
65,1812,7326.9760000000015,872
66,1813,9090.696999999996,913
67,1814,8228.045,879
68,1815,8604.142,889
69,1816,8757.453000000001,921
70,1817,10044.108000000002,982
71,1818,10134.561999999996,958
72,1819,11046.852000000003,1004
73,1820,10758.346,1029
74,1821,11752.536000000006,1061
75,1822,11851.117,1042
76,1823,11626.829999999996,1105
77,1824,19800.746,1375
78,1825,24953.717000000015,1584
79,1826,20412.261000000006,1408
80,1827,21317.597999999998,1436
81,1828,21022.831000000002,1436
82,1829,19094.882999999994,1408
83,1830,12729.247000000005,1128
84,1831,12618.079000000002,1132
85,1832,12157.934000000001,1152
86,1833,13239.424999999996,1200
87,1834,13812.327999999998,1202
88,1835,14549.897,1278
89,1836,13902.990999999996,1241
90,1837,14001.434000000003,1255
91,1838,14695.592999999995,1302
92,1839,16666.693000000003,1361
93,1840,17974.996000000006,1438
94,1841,18749.629000000004,1460
95,1842,18461.82499999999,1447
96,1843,20682.971999999994,1529
97,1844,18476.402999999995,1470
98,1845,23943.773000000005,1678
99,1846,27361.720999999998,1746
100,1847,26007.487,1740
101,1848,26739.322000000007,1766
102,1849,31348.071000000014,1944
103,1850,37092.570000000014,2200
104,1851,34762.58,2074
